name,tool,cpu_count,time_in_seconds,memory_in_bytes,dataset_size
filter,duckdb,1,6.154011690996413,0,400MB
filter,duckdb,1,6.166812235998805,0,400MB
filter,duckdb,1,6.163115108000056,0,400MB
filter,duckdb,2,3.079426714000874,19560,400MB
filter,duckdb,2,3.083541781001258,21336,400MB
filter,duckdb,2,3.0925150850016507,17144,400MB
filter,duckdb,10,0.6607222929960699,229024,400MB
filter,duckdb,10,0.6407018379977671,239940,400MB
filter,duckdb,10,0.7435224759974517,233712,400MB
filter,duckdb,20,0.7309722760037403,386308,400MB
filter,duckdb,20,0.6934094600001117,386004,400MB
filter,duckdb,20,0.7180713380002999,385108,400MB
filter,duckdb,1,3.101731335002114,0,200MB
filter,duckdb,1,3.094367322002654,0,200MB
filter,duckdb,1,3.090617159999965,0,200MB
filter,duckdb,2,1.6541743130001123,17484,200MB
filter,duckdb,2,1.650376822995895,20828,200MB
filter,duckdb,2,1.6432662350052851,20856,200MB
filter,duckdb,10,0.4587609640002483,175284,200MB
filter,duckdb,10,0.4371705309968092,176464,200MB
filter,duckdb,10,0.432923252999899,174336,200MB
filter,duckdb,20,0.39778082799603,281764,200MB
filter,duckdb,20,0.4090693029938848,282716,200MB
filter,duckdb,20,0.40939647200139,282836,200MB
filter,polars,1,13.250078896999185,0,6400MB
filter,polars,1,10.70560223099892,0,6400MB
filter,polars,1,14.50316870599636,0,6400MB
filter,polars,2,2.5553851229997235,0,6400MB
filter,polars,2,2.4373183179995976,0,6400MB
filter,polars,2,2.5122575830027927,0,6400MB
filter,polars,10,0.8796770940025453,0,6400MB
filter,polars,10,0.8694403639965458,0,6400MB
filter,polars,10,0.5299007680005161,0,6400MB
filter,polars,20,0.5002753700027824,0,6400MB
filter,polars,20,0.5184964820000459,0,6400MB
filter,polars,20,0.6639138770042337,0,6400MB
filter,polars,1,3.073459494000417,0,3200MB
filter,polars,1,3.147707211002853,0,3200MB
filter,polars,1,3.1319952800004103,0,3200MB
filter,polars,2,1.0833282499988854,0,3200MB
filter,polars,2,1.8586282190008203,0,3200MB
filter,polars,2,1.0834039030014535,0,3200MB
filter,polars,10,0.2821728820017597,0,3200MB
filter,polars,10,0.2382289740016858,0,3200MB
filter,polars,10,0.2675781600009941,0,3200MB
filter,polars,20,0.2175926790005178,0,3200MB
filter,polars,20,0.2196030989980499,0,3200MB
filter,polars,20,0.2143976250008563,0,3200MB
filter,polars,1,1.1339666319981916,0,1600MB
filter,polars,1,1.1406917229978717,0,1600MB
filter,polars,1,1.1420790890006174,0,1600MB
filter,polars,2,0.5685461280008894,0,1600MB
filter,polars,2,0.5637610369994945,0,1600MB
filter,polars,2,0.566212262998306,0,1600MB
filter,polars,10,0.1882390159989881,0,1600MB
filter,polars,10,0.1694606420023774,0,1600MB
filter,polars,10,0.1512036659987643,0,1600MB
filter,polars,20,0.1321465140026703,0,1600MB
filter,polars,20,0.164549460998387,0,1600MB
filter,polars,20,0.1365377199981594,0,1600MB
filter,polars,1,0.572353961000772,0,800MB
filter,polars,1,0.5871202720009023,0,800MB
filter,polars,1,0.5877804459996696,0,800MB
filter,polars,2,0.2931012269982602,0,800MB
filter,polars,2,0.2945616219985822,0,800MB
filter,polars,2,0.2948186979992897,0,800MB
filter,polars,10,0.071341957002005,0,800MB
filter,polars,10,0.0605810089982696,0,800MB
filter,polars,10,0.0732179549995635,0,800MB
