name,tool,cpu_count,time_in_seconds,memory_in_bytes,dataset_size
group,pyspark,1,38.99039864599763,833560640,3200MB
group,pyspark,1,40.154025794996414,833614760,3200MB
group,pyspark,1,38.93906031800725,833491336,3200MB
group,pyspark,20,8.565312474995153,4145216312,3200MB
group,pyspark,20,8.464778378998744,4131435704,3200MB
group,pyspark,20,8.75018747401191,3981690096,3200MB
group,pyspark,1,21.921284444993944,1563317416,1600MB
group,pyspark,1,21.43896133599628,1571625480,1600MB
group,pyspark,1,21.24976713999058,1563448776,1600MB
group,pyspark,20,8.910325005010236,3570496408,1600MB
group,pyspark,20,8.954245255998103,3759129232,1600MB
group,pyspark,20,8.696372366990545,3741299728,1600MB
group,pyspark,1,9.296704972002772,497941488,800MB
group,pyspark,1,8.829416973996558,497841592,800MB
group,pyspark,1,9.083041657999274,497945440,800MB
group,pyspark,20,3.963344310002867,2883786304,800MB
group,pyspark,20,3.480071109996061,2828023080,800MB
group,pyspark,20,3.671453481001663,2891096440,800MB
group,pyspark,1,5.060424540002714,296616840,400MB
group,pyspark,1,4.875080398996943,296572392,400MB
group,pyspark,1,5.032638791002682,296720736,400MB
group,pyspark,20,2.8691922029975103,2521690800,400MB
group,pyspark,20,2.9870927650044905,2552130928,400MB
group,pyspark,20,3.139328970995848,2546846160,400MB
group,pyspark,1,2.942762231003144,230366872,200MB
group,pyspark,1,2.960688644001493,231238912,200MB
group,pyspark,1,3.038950804999331,230480992,200MB
group,pyspark,20,2.439796384991496,1410215096,200MB
group,pyspark,20,2.464774235006189,1401771944,200MB
group,pyspark,20,2.3958493849931983,1401767520,200MB
group,modin,1,36.02718961299979,459055065,3200MB
group,modin,1,36.211889039987,459128897,3200MB
group,modin,1,36.38343722000718,459184939,3200MB
group,modin,20,37.10765503199946,4536252981,3200MB
group,modin,20,37.554515237992746,4536796478,3200MB
group,modin,20,36.838509168999735,4536876535,3200MB
group,modin,1,19.96711577600217,398556265,1600MB
group,modin,1,19.932688441011123,399016308,1600MB
group,modin,1,20.31741343499744,399284513,1600MB
group,modin,20,20.721108341007493,6225106022,1600MB
group,modin,20,20.73263922399201,6222308826,1600MB
group,modin,20,20.730903203992057,6223650097,1600MB
group,modin,1,8.929448530994705,395162427,800MB
group,modin,1,8.881758718998753,395405430,800MB
group,modin,1,8.938599166998756,395197097,800MB
group,modin,20,9.474804377998224,4475217989,800MB
group,modin,20,9.77036163500452,4473188536,800MB
group,modin,20,9.319514814997092,4473249879,800MB
group,modin,1,4.748651357003837,385550725,400MB
group,modin,1,4.653968844999326,385264916,400MB
group,modin,1,4.765871474999585,385611237,400MB
group,modin,20,4.83322017500177,4461910789,400MB
group,modin,20,4.881458998992457,4462431884,400MB
group,modin,20,4.793749457996455,4463745249,400MB
group,modin,1,2.2600975779932924,379348534,200MB
group,modin,1,2.240328689993476,379450430,200MB
group,modin,1,2.296575167987612,380801082,200MB
group,modin,20,2.417741035998916,4458628417,200MB
group,modin,20,2.3967326560086804,4457990137,200MB
group,modin,20,2.367393456006539,4459108633,200MB
group,duckdb,1,36.80711952201091,5430536,3200MB
group,duckdb,1,37.05789023400576,5428300,3200MB
group,duckdb,1,37.61799030000111,5430816,3200MB
group,duckdb,20,8.156505013001151,9363120,3200MB
group,duckdb,20,12.697813285005395,10323748,3200MB
group,duckdb,20,13.933397978005814,10318444,3200MB
group,duckdb,1,18.750890494004125,4199588,1600MB
group,duckdb,1,19.0833940970042,4201032,1600MB
group,duckdb,1,18.80519543901028,4200796,1600MB
group,duckdb,20,9.225377738999669,6167432,1600MB
group,duckdb,20,9.267889740993269,5980804,1600MB
group,duckdb,20,9.688996379001765,6376800,1600MB
group,duckdb,1,8.757876456002123,1342784,800MB
group,duckdb,1,8.663006695001968,1340928,800MB
group,duckdb,1,8.70222224900499,1324900,800MB
group,duckdb,20,1.7588705280068098,1749528,800MB
group,duckdb,20,1.52894522700808,1691296,800MB
group,duckdb,20,1.7184089759975905,1733020,800MB
group,duckdb,1,4.312649393992615,419296,400MB
group,duckdb,1,4.282668901010766,458908,400MB
group,duckdb,1,4.2938716350035975,452604,400MB
group,duckdb,20,0.7826788610109361,700852,400MB
group,duckdb,20,0.7555315970093943,690552,400MB
group,duckdb,20,0.7339148620085325,690460,400MB
group,duckdb,1,2.093420649995096,5328,200MB
group,duckdb,1,2.059432537993416,384,200MB
group,duckdb,1,2.064234265999403,5724,200MB
group,duckdb,20,0.4075012489920482,250132,200MB
group,duckdb,20,0.4090312580083264,248772,200MB
group,duckdb,20,0.4014352700032759,242356,200MB
group,polars,1,50.83954781200737,11762688,3200MB
group,polars,1,51.86673355200037,11674432,3200MB
group,polars,1,50.680595800004085,11798776,3200MB
group,polars,20,5.921910937002394,15018676,3200MB
group,polars,20,5.932797137997113,15118856,3200MB
group,polars,20,6.062469673008309,15038904,3200MB
group,polars,1,29.23308334199828,5804340,1600MB
group,polars,1,29.161427910992643,5803448,1600MB
group,polars,1,29.365339312993456,5797696,1600MB
group,polars,20,4.063623723995988,6118852,1600MB
group,polars,20,4.152108584996313,6140512,1600MB
group,polars,20,4.219182428001659,6049740,1600MB
group,polars,1,22.36994396100636,3771276,800MB
group,polars,1,12.06963683500362,3783104,800MB
group,polars,1,12.071069650002755,3778372,800MB
group,polars,20,1.444483486993704,4147992,800MB
group,polars,20,1.4386739420006052,4154064,800MB
group,polars,20,1.447503240997321,4143196,800MB
group,polars,1,5.477805169997737,2066772,400MB
group,polars,1,5.506144568003947,2067904,400MB
group,polars,1,5.530983409000328,2068400,400MB
group,polars,20,0.7333341530029429,2276012,400MB
group,polars,20,0.7340231260022847,2259476,400MB
group,polars,20,0.7252946000080556,2259976,400MB
group,polars,1,4.483569794989307,1035380,200MB
group,polars,1,2.5773915239988128,1035496,200MB
group,polars,1,2.521583529000054,1034000,200MB
group,polars,20,0.3642632600094657,1130292,200MB
group,polars,20,0.357835899994825,1126188,200MB
group,polars,20,0.3535377069929382,1132360,200MB
group,dask,1,151.237155994997,45909568,3200MB
group,dask,1,156.51499047799734,46438772,3200MB
group,dask,1,148.9406764049927,46314296,3200MB
group,dask,20,158.6547564299981,46431980,3200MB
group,dask,20,161.11061409499962,46204932,3200MB
group,dask,20,153.437475439001,48217976,3200MB
group,dask,1,55.2586988129915,21052052,1600MB
group,dask,1,55.27584599200054,21332288,1600MB
group,dask,1,55.66920599799778,21264000,1600MB
group,dask,20,56.07483818400942,21438628,1600MB
group,dask,20,54.55450959400332,20993892,1600MB
group,dask,20,56.905186030999175,20905568,1600MB
group,dask,1,27.094386788012343,9989360,800MB
group,dask,1,27.07660656000371,10278476,800MB
group,dask,1,27.05184115598968,9937748,800MB
group,dask,20,27.43733032399905,10133768,800MB
group,dask,20,26.862175736998324,10123028,800MB
group,dask,20,28.168824667998702,10117228,800MB
group,dask,1,17.04481558900443,3523460,400MB
group,dask,1,16.69608730300388,3777480,400MB
group,dask,1,16.82906279999588,3798868,400MB
group,dask,20,16.75353408700903,3753388,400MB
group,dask,20,16.92227075000119,3607424,400MB
group,dask,20,16.783636072010268,3764620,400MB
group,dask,1,7.677276189002441,179600,200MB
group,dask,1,7.636582365987124,0,200MB
group,dask,1,7.835696862995974,0,200MB
group,dask,20,7.717852875997778,48512,200MB
group,dask,20,7.693873081996571,0,200MB
group,dask,20,7.736672757004271,63676,200MB
group,pandas,1,30.778413687992725,7920112,3200MB
group,pandas,1,30.324009392003063,7949916,3200MB
group,pandas,1,30.31882033900183,7931672,3200MB
group,pandas,20,32.32997373100079,7601196,3200MB
group,pandas,20,32.05507805099478,7663984,3200MB
group,pandas,20,31.874487469001902,7758720,3200MB
group,pandas,1,17.147214365002583,3821616,1600MB
group,pandas,1,17.191709370992612,3841696,1600MB
group,pandas,1,17.184760582997114,3856412,1600MB
group,pandas,20,17.921200002994738,3842908,1600MB
group,pandas,20,17.112416923002456,3869764,1600MB
group,pandas,20,18.283370188000845,3719516,1600MB
group,pandas,1,7.603144752007211,32636,800MB
group,pandas,1,7.603419189006672,36028,800MB
group,pandas,1,7.562824302003719,96020,800MB
group,pandas,20,7.647206011999515,0,800MB
group,pandas,20,7.672469031997025,0,800MB
group,pandas,20,7.664590070999111,0,800MB
group,pandas,1,3.9058056799985934,0,400MB
group,pandas,1,3.904922353991424,0,400MB
group,pandas,1,3.892452699990826,0,400MB
group,pandas,20,3.970279240005766,0,400MB
group,pandas,20,3.9149905770027535,0,400MB
group,pandas,20,3.8881560419977177,0,400MB
group,pandas,1,1.9790935070050184,0,200MB
group,pandas,1,1.9779332890029764,0,200MB
group,pandas,1,1.9767848839983344,0,200MB
group,pandas,20,1.9339527879928933,0,200MB
group,pandas,20,1.9167211809981384,0,200MB
group,pandas,20,1.8987477289920207,0,200MB
group,duckdb,1,36.49215089500649,5431032,3200MB
group,duckdb,1,36.46963749299175,5431588,3200MB
group,duckdb,1,36.36936077498831,5431584,3200MB
group,duckdb,20,11.351780539000174,10170360,3200MB
group,duckdb,20,9.902036498999223,9805360,3200MB
group,duckdb,20,9.656168302011793,9844456,3200MB
group,duckdb,1,18.66661761699652,4200912,1600MB
group,duckdb,1,18.732348213001387,4197780,1600MB
group,duckdb,1,18.867007471999383,4199900,1600MB
group,duckdb,20,8.707407624999178,6584824,1600MB
group,duckdb,20,9.51060621101351,6027820,1600MB
group,duckdb,20,8.919781631993828,5672352,1600MB
group,duckdb,1,8.734653564999462,1317496,800MB
group,duckdb,1,8.688649759991677,1282768,800MB
group,duckdb,1,8.742179879991454,1313896,800MB
group,duckdb,20,1.5877039390034042,1745724,800MB
group,duckdb,20,1.4638277590129292,1673452,800MB
group,duckdb,20,1.6215232530084904,1738392,800MB
group,duckdb,1,4.2950916919944575,450352,400MB
group,duckdb,1,4.286716124988743,418280,400MB
group,duckdb,1,4.269950938003603,455716,400MB
group,duckdb,20,0.7390740330010885,694628,400MB
group,duckdb,20,0.7455965260014636,692664,400MB
group,duckdb,20,0.8612173959991196,924572,400MB
group,duckdb,1,2.063762873003725,2884,200MB
group,duckdb,1,2.0484117710002465,1920,200MB
group,duckdb,1,2.0522038989875,0,200MB
group,duckdb,20,0.4010772580077173,242592,200MB
group,duckdb,20,0.4137519439973403,237780,200MB
group,duckdb,20,0.3928966130042681,238400,200MB
group,polars,1,51.053612895004335,11723992,3200MB
group,polars,1,50.75493074099359,11763372,3200MB
group,polars,1,51.00729673699243,11737764,3200MB
group,polars,20,6.117258258003858,15107976,3200MB
group,polars,20,5.9617345110018505,15033604,3200MB
group,polars,20,5.944891367005766,15089660,3200MB
group,polars,1,53.55562861800718,5803376,1600MB
group,polars,1,29.83912943801261,5804212,1600MB
group,polars,1,29.0890966559964,5798492,1600MB
group,polars,20,4.150672770003439,6121792,1600MB
group,polars,20,4.190933720994508,6135024,1600MB
group,polars,20,4.685724383001798,6059304,1600MB
group,polars,1,22.16790213699278,3781108,800MB
group,polars,1,12.085000751991174,3779104,800MB
group,polars,1,11.79814230800548,3779404,800MB
group,polars,20,1.4411664840008598,4152032,800MB
group,polars,20,1.4534459129936297,4152888,800MB
group,polars,20,1.4544490760017652,4164540,800MB
group,polars,1,5.396443202989758,2067312,400MB
group,polars,1,5.48202812600357,2066332,400MB
group,polars,1,5.469068368009175,2067728,400MB
group,polars,20,0.7397090769954957,2282504,400MB
group,polars,20,0.7395275030139601,2260600,400MB
group,polars,20,0.7269134419912007,2264300,400MB
group,polars,1,4.44998019101331,1036264,200MB
group,polars,1,2.510469896005816,1034644,200MB
group,polars,1,2.505430891993456,1036512,200MB
group,polars,20,0.3594893370027421,1126852,200MB
group,polars,20,0.3594679810048546,1124920,200MB
group,polars,20,0.3578745239938143,1130136,200MB
group,dask,1,155.34082439700433,46504724,3200MB
group,dask,1,156.45508838800015,46509004,3200MB
group,dask,1,165.28761957999086,44782244,3200MB
group,dask,20,158.55697918399528,45472364,3200MB
group,dask,20,163.68481574200268,45823968,3200MB
group,dask,20,158.93966412098962,50915904,3200MB
group,dask,1,55.5993989599956,21172324,1600MB
group,dask,1,55.724950111994985,21153952,1600MB
group,dask,1,54.03682042600121,21036724,1600MB
group,dask,20,55.13140966799983,21192276,1600MB
group,dask,20,55.66891532498994,20807756,1600MB
group,dask,20,55.03127565899922,20100160,1600MB
group,dask,1,27.61713682900881,10113084,800MB
group,dask,1,28.49918141000672,9977024,800MB
group,dask,1,26.62631429299654,10226820,800MB
group,dask,20,26.85342692799168,9896432,800MB
group,dask,20,26.905332898997585,9841124,800MB
group,dask,20,27.7217568299966,10070296,800MB
group,dask,1,16.560850048990687,3690496,400MB
group,dask,1,16.933972712999093,3700952,400MB
group,dask,1,16.464496699001756,3322728,400MB
group,dask,20,16.629973354996764,3468848,400MB
group,dask,20,16.574410586006707,3788004,400MB
group,dask,20,16.40767354000127,3673180,400MB
group,dask,1,7.753242026010412,0,200MB
group,dask,1,7.785088984004687,72648,200MB
group,dask,1,7.640109259999008,0,200MB
group,dask,20,7.673890669000684,18780,200MB
group,dask,20,7.64809253400017,0,200MB
group,dask,20,7.760067390001495,27608,200MB
group,pandas,1,30.887754128008964,8046904,3200MB
group,pandas,1,30.887392313001328,7987248,3200MB
group,pandas,1,30.502840818007822,7921692,3200MB
group,pandas,20,30.790258574998006,7682772,3200MB
group,pandas,20,31.760837074005394,7671680,3200MB
group,pandas,20,30.82483528800367,7718260,3200MB
group,pandas,1,17.31178548000753,3821352,1600MB
group,pandas,1,17.24183831800474,3821088,1600MB
group,pandas,1,17.318840248000924,3827652,1600MB
group,pandas,20,18.1131425210042,3849148,1600MB
group,pandas,20,17.211011638006312,3828480,1600MB
group,pandas,20,17.268030850987998,3842248,1600MB
group,pandas,1,7.682241231988883,35576,800MB
group,pandas,1,7.602879857993685,35616,800MB
group,pandas,1,7.607942657006788,35352,800MB
group,pandas,20,7.93800196700613,0,800MB
group,pandas,20,7.934383169995272,0,800MB
group,pandas,20,7.923405904992251,0,800MB
group,pandas,1,3.955361086002085,0,400MB
group,pandas,1,3.9100586510030553,0,400MB
group,pandas,1,3.923740504003945,0,400MB
group,pandas,20,4.069746991008287,0,400MB
group,pandas,20,3.9568541459884727,0,400MB
group,pandas,20,3.9417721860081656,0,400MB
